no,Folder(NamePlant),Giới (Kingdom),Nhánh (Clade),Không phân hạng,Bộ (Order),Họ (Family),Chi (Genus),Loài,Số lượng ảnh,Mô tả
1381,Curculigo_disticha,Plantae,,"Angiospermae
Monocot",Asparagales,Hypoxidaceae,Curculigo,C. disticha,100,Cồ nốc song dính (danh pháp: Curculigo disticha) là một loài thực vật có hoa trong họ Hypoxidaceae. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1934.
1382,Curculigo_sinensis,Plantae,,"Angiospermae
Monocot",Asparagales,Hypoxidaceae,Curculigo,C. sinensis,100,Curculigo sinensis là một loài thực vật có hoa trong họ Hypoxidaceae. Loài này được S.C.Chen mô tả khoa học đầu tiên năm 1966.
1383,Curcuma_aeruginosa,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. aeruginosa,100,"Nghệ xanh, nghệ đen, ngải tím, nghệ ten đồng (danh pháp khoa học: Curcuma aeruginosa) là một loài thực vật có hoa trong họ Gừng. Loài này được William Roxburgh mô tả khoa học đầu tiên năm 1810 theo giống cây do Carey đưa về từ Pegu (nay là Bago, Myanmar)."
1384,Curcuma_angustifolia,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. angustifolia,100,Nghệ lá hẹp (danh pháp khoa học: Curcuma angustifolia) là một loài thực vật có hoa trong họ Gừng. Loài này được William Roxburgh mô tả khoa học đầu tiên năm 1810. Tên gọi tại Ấn Độ là tikhur.
1385,Curcuma_aromatica,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. aromatica,100,"Nghệ rừng hay nghệ trắng (danh pháp hai phần: Curcuma aromatica) là loài thực vật thuộc chi Nghệ, họ Gừng. Nó được Richard Anthony Salisbury mô tả khoa học lần đầu tiên năm 1808."
1386,Curcuma_elata,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. elata,100,Mì tinh rừng (danh pháp hai phần: Curcuma elata) là một loài thực vật có hoa trong họ Gừng. Loài này được William Roxburgh (1751-1815) đặt tên khoa học lần đầu tiên năm 1814. Mô tả khoa học đầu tiên trong sách Flora Indica của Roxburgh do William Carey (1761-1834) biên tập và in năm 1820. Mẫu định danh loài do William Carey lấy từ Myanmar về trồng tại vườn thực vật Calcutta.
1387,Curcuma_harmandii,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. harmandii,100,"Curcuma harmandii là một loài thực vật có hoa trong họ Gừng. Loài này được François Gagnepain mô tả khoa học đầu tiên năm 1907.Các mẫu định danh gồm 1 mẫu do L. Pierre thu thập tại Nam Kỳ ngày 24 tháng 4 năm 1867 (mẫu MNHN-P-P00292625) và 3 mẫu do François-Jules Harmand và Alexandre Godefroy-Lebeuf thu thập tại núi Pursat, Campuchia ngày 20 tháng 6 năm 1875, (Gagnepain viết nhầm, tương ứng thành tháng 4 năm 1870 và ngày 20 tháng 6 năm 1856)."
1388,Curcuma_longa,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. longa,100,"Nghệ hay nghệ nhà, nghệ ta, khương hoàng (danh pháp hai phần: Curcuma longa) là cây thân thảo lâu năm thuộc họ Gừng, (Zingiberaceae), có củ (thân rễ) dưới mặt đất. Nó có nguồn gốc ở vùng nhiệt đới Tamil Nadu, phía đông nam Ấn Độ, và cần nhiệt độ từ 20 độ C đến 30 độ C (68 độ F và 86 độ F) và một lượng mưa hàng năm đáng kể để phát triển mạnh. Cây được thu hoạch hàng năm để lấy phần củ, và được nhân giống từ một phần trong số củ đó vào mùa sau.
Khi không được sử dụng ngay, củ được luộc trong khoảng từ 30 đến 45 phút và sau đó đem sấy khô trong lò nóng. Sau đó chúng được nghiền ra thành một loại bột có màu vàng cam sậm mà thường được sử dụng làm gia vị trong ẩm thực Tamil và kể cả các loại cà ri, hoặc để nhuộm màu, tạo màu cho các loại gia vị mù tạc. Thành phần hoạt động của nó là chất curcumin với hương vị hơi cay nóng, hơi đắng, có mùi mù tạc, và ‘mang hương vị của đất’ một cách khác biệt. Curcumin là tâm điểm thu hút vì tính năng chữa bệnh tiềm tàng với một số chứng bệnh, bao gồm ung thư, Alzheimer, tiểu đường, dị ứng, viêm khớp, và các loại bệnh mãn tính khác. Ấn Độ là nước sản xuất nghệ chính, với những tên gọi theo vùng tùy vào ngôn ngữ và quốc gia.

Vì nghệ là một hợp chất thực vật tự nhiên, nên nó không mang tính độc quyền để được cấp bằng sáng chế riêng."
1389,Curcuma_parviflora,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. parviflora,98,"Curcuma parviflora là một loài thực vật có hoa trong họ Gừng. Loài này được Nathaniel Wallich mô tả khoa học đầu tiên năm 1830 theo mẫu vật thu thập từ rừng ven sông Irrawaddy, từ Prome tới Ava."
1390,Curcuma_pygmaea,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. pygmaea,100,"Curcuma pygmaea là một loài thực vật có hoa trong họ Gừng. Loài này được Jana Leong‐Škorničková và Otakar Šída mô tả khoa học đầu tiên năm 2013. Mẫu định danh Tran et al. 239 thu thập ngày 17 tháng 7 năm 2010 ở cao độ 308 m tại xã Ea H'Leo, huyện Ea H'Leo, tỉnh Đắk Lắk, Việt Nam."
1391,Curcuma_sahuynhensis,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. sahuynhensis,100,"Curcuma sahuynhensis là một loài thực vật có hoa trong họ Gừng. Loài này được Jana Leong-Škorničková và Lý Ngọc Sâm mô tả khoa học đầu tiên năm 2015. Mẫu định danh: Lý Ngọc Sâm, Phan Thế Cường, Lý-486; thu thập ngày 4 tháng 9 năm 2010 tại cao độ 183 m, tọa độ 14°39′28″B 109°2′22″Đ, núi Đồng Đế, núi Đồng Vân, thôn Đồng Vân, xã Phổ Thạnh, huyện Đức Phổ (nay là phường Phổ Thạnh, thị xã Đức Phổ), tỉnh Quảng Ngãi, Việt Nam. Tên gọi địa phương là rau nghệ."
1392,Curcuma_stenochila,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. stenochila,100,"Curcuma stenochila là một loài thực vật có hoa trong họ Gừng. Loài này được François Gagnepain mô tả khoa học đầu tiên năm 1905. Mẫu định danh: C. Geoffray 409 - Holotype: MNHN-P-P032710, - Isotype: MNHN-P-P032712, do C. Geoffray thu thập trong cùng ngày 12-7-1904 ở cao độ 400-500 m tại núi Kamchay, tỉnh Kampot, Campuchia."
1393,Curcuma_vitellina,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. vitellina,100,"Curcuma vitellina là một loài thực vật có hoa trong họ Gừng. Loài này được Jana Leong-Škorničková và Trần Hữu Đăng mô tả khoa học đầu tiên năm 2010. Mẫu định danh: Trần et al. 70, thu thập ở cao độ 787 m ngày 23 tháng 6 năm 2008, ở tọa độ 11°41′7″B 108°16′6,1″Đ trên thác Pongour, tỉnh Lâm Đồng, Việt Nam."
1394,Curcuma_zanthorrhiza,Plantae,,"Angiospermae
Monocots
Commelinids",Zingiberales,Zingiberaceae,Curcuma,C. zanthorrhiza,100,"Nghệ rễ vàng hay nghệ cà ri (danh pháp hai phần: Curcuma zanthorrhiza) là loài thực vật thuộc họ Gừng. Tên gọi địa phương tại Trung Quốc: 印尼莪术 (Ấn Ni nga thuật = nga truật Indonesia); tại Indonesia: temow / temu lawak, koneng gedeh, temu labak; tại Malaysia: temu lawas (lưu ý là Ridley mô tả loài mà ông cho là C. zedoaria). Mẫu định danh: Icones Roxburghianae 2003 (lectotype), lưu giữ tại phòng mẫu cây của Vườn Thực vật Hoàng gia tại Kew (K)."
1395,Cuscuta_australis,Plantae,,"Angiospermae
Eudicots",Solanales,Convolvulaceae,Cuscuta,C. australis,100,Cuscuta australis là một loài thực vật có hoa trong họ Bìm bìm. Loài này được R. Br. mô tả khoa học đầu tiên năm 1810.
1396,Cuscuta_japonica,Plantae,,"Angiospermae
Eudicots",Solanales,Convolvulaceae,Cuscuta,C. japonica,100,Cuscuta japonica là một loài thực vật có hoa trong họ Bìm bìm. Loài này được Choisy mô tả khoa học đầu tiên năm 1854.
1397,Cyamopsis_tetragonoloba,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Cyamopsis,C. tetragonoloba,100,Cyamopsis tetragonoloba là một loài thực vật có hoa trong họ Đậu. Loài này được (L.) Taub. miêu tả khoa học đầu tiên.
1398,Cyanotis_arachnoidea,Plantae,,"Angiospermae
Monocots
Commelinids",Commelinales,Commelinaceae,Cyanotis,C. arachnoidea,100,Cyanotis arachnoidea là một loài thực vật có hoa trong họ Commelinaceae. Loài này được C.B.Clarke mô tả khoa học đầu tiên năm 1881.
1399,Cyanotis_cucullata,Plantae,,"Angiospermae
Monocots
Commelinids",Commelinales,Commelinaceae,Cyanotis,C. cucullata,100,Cyanotis cucullata là một loài thực vật có hoa trong họ Commelinaceae. Loài này được (Roth) Kunth mô tả khoa học đầu tiên năm 1843.
1400,Cyanotis_papilionacea,Plantae,,"Angiospermae
Monocots
Commelinids",Commelinales,Commelinaceae,Cyanotis,C. papilionacea,100,Cyanotis papilionacea là một loài thực vật có hoa trong họ Commelinaceae. Loài này được (Burm.f.) Schult. & Schult.f. mô tả khoa học đầu tiên năm 1830.
1401,Cyanotis_vaga,Plantae,,"Angiospermae
Monocots
Commelinids",Commelinales,Commelinaceae,Cyanotis,C. vaga,100,Cyanotis vaga là một loài thực vật có hoa trong họ Commelinaceae. Loài này được (Lour.) Schult. & Schult.f. mô tả khoa học đầu tiên năm 1830.
1402,Cyathocalyx_sumatrana,,,,,,,,86,Bát đài Sumatra (danh pháp khoa học: Cyathocalyx sumatranus) là loài thực vật có hoa thuộc họ Na. Loài này được Rudolph Herman Scheffer mô tả khoa học đầu tiên năm 1871 (in năm 1872).
1403,Cyathostemma_argenteum,Plantae,,"Angiospermae
Mesangiospermae",Magnoliales,Annonaceae,Cyathostemma,C. argenteum,82,Cyathostemma argenteum là loài thực vật có hoa thuộc họ Na. Loài này được (Blume) J.Sinclair mô tả khoa học đầu tiên năm 1951.
1404,Cyathostemma_wrayi,Plantae,,"Angiospermae
Mesangiospermae",Magnoliales,Annonaceae,Cyathostemma,C. wrayi,83,Cyathostemma wrayi là loài thực vật có hoa thuộc họ Na. Loài này được King mô tả khoa học đầu tiên năm 1892.
1405,Cyathula_prostrata,Plantae,,"Angiospermae
Eudicots",Caryophyllales,Amaranthaceae,Cyathula,C. prostrata,100,Đơn đỏ gọng (danh pháp khoa học: Cyathula prostrata) là loài thực vật có hoa thuộc họ Dền. Loài này được (L.) Blume mô tả khoa học đầu tiên năm 1826.
1406,Cycas_bifida,Plantae,,Gymnospermae,Cycadales,Cycadaceae,Cycas,C. bifida,100,Cycas bifida là một loài thực vật hạt trần trong họ Cycadaceae. Loài này được Dyer K.D.Hill mô tả khoa học đầu tiên năm 2004.
1407,Cycas_elongata,Plantae,,Gymnospermae,Cycadales,Cycadaceae,Cycas,C. elongata,100,Cycas elongata là một loài thực vật hạt trần trong họ Cycadaceae. Loài này được Leandri D.Y.Wang mô tả khoa học đầu tiên năm 1996.
1408,Cycas_lindstromii,Plantae,,Gymnospermae,Cycadales,Cycadaceae,Cycas,C. lindstromii,96,"Cycas lindstromii là một loài thực vật hạt trần trong họ Cycadaceae. Loài này được S.L.Yang, K.D.Hill & Hiep mô tả khoa học đầu tiên năm 1997. Đây là một loài cây đặc hữu của các tỉnh Bà Rịa - Vũng Tàu, Khánh Hòa, Ninh Thuận và Bình Thuận."
1409,Cycas_micholitzii,Plantae,,Gymnospermae,Cycadales,Cycadaceae,Cycas,C. micholitzii,96,Tuế lá xẻ hay Tuế lá chẻ (Tên khoa học: Cycas micholitzii) là một loài thực vật hạt trần trong họ Cycadaceae. Loài này được Dyer mô tả khoa học đầu tiên năm 1905. Loài cây này phân bố ở Việt Nam và Lào.
1410,Cycas_pectinata,Plantae,,Angiospermae,Cycadales,Cycadaceae,Cycas,C. pectinata,100,"Thiên tuế hay tuế lược (danh pháp hai phần: Cycas pectinata) là loài thực vật phân bố ở đông bắc Ấn Độ, Nepal, Bhutan, bắc Myanmar, Hoa Nam, bắc Thái Lan, Lào và Việt Nam. Đây là loài thứ tư của chi Cycas được đặt tên khoa học với mô tả lần đầu năm 1826. Thiên tuế cao đến 40 foot (12 m) với tán rộng."
1411,Cyclacanthus_coccineus,Plantae,,"Angiospermae
Eudicots",Lamiales,Acanthaceae,Cyclacanthus,C. coccineus,100,Cyclacanthus coccineus là một loài thực vật có hoa trong họ Ô rô. Loài này được S.Moore mô tả khoa học đầu tiên năm 1921.
1412,Cyclea_barbata,Plantae,,"Angiospermae
Eudicots",Ranunculales,Menispermaceae,Cyclea,C. barbata,100,"Cyclea barbata có tên là dây lá mối, sương sâm lông, sương sâm rừng, là một loài thực vật có hoa trong họ Biển bức cát. Loài này được Miers mô tả khoa học đầu tiên năm 1866."
1413,Cyclea_hypoglauca,Plantae,,"Angiospermae
Eudicots",Ranunculales,Menispermaceae,Cyclea,C. hypoglauca,96,Cyclea hypoglauca là một loài thực vật có hoa trong họ Biển bức cát. Loài này được (Schauer) Diels mô tả khoa học đầu tiên năm 1910.
1414,Cyclea_racemosa,Plantae,,"Angiospermae
Eudicots",Ranunculales,Menispermaceae,Cyclea,C. racemosa,93,Cyclea racemosa là một loài thực vật có hoa trong họ Biển bức cát. Loài này được Oliv. mô tả khoa học đầu tiên năm 1890.
1415,Cyclocarpa_stellaris,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Cyclocarpa,C. stellaris,100,Cyclocarpa stellaris là một loài thực vật có hoa trong họ Đậu. Loài này được Baker mô tả khoa học đầu tiên.
1416,Cymbidium_aloifolium,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. aloifolium,100,"Lan kiếm hay lan lô hội (danh pháp hai phần: Cymbidium aloifolium, tên tiếng Anh là Aloe-leafed Cymbidium) là một loài phong lan.
Cây phân bố ở châu Á nhiệt đới. Tại Việt Nam, cây có mặt ở khắp cả nước."
1417,Cymbidium_banaense,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. banaense,100,Cymbidium banaense là một loài thực vật có hoa trong họ Lan. Loài này được Gagnep. mô tả khoa học đầu tiên năm 1951.
1418,Cymbidium_cochlea,,,,,,,,100,Cymbidium cochleare là một loài thực vật có hoa trong họ Lan. Loài này được Lindl. mô tả khoa học đầu tiên năm 1859.
1419,Cymbidium_dayanum,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. dayanum,100,"Lan bích ngọc (danh pháp hai phần: Cymbidium dayanum) là một loài phong lan.
Cây phân bố từ Ấn Độ đến Đông Nam Á, Trung Quốc, Nhật Bản. Tại Việt Nam, cây có mặt ở các khu vực: Quảng Ninh, Tam Đảo đến Đà Lạt."
1420,Cymbidium_eburneum,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. eburneum,100,"Lan đoản kiếm ngà hay bạch lan (danh pháp hai phần: Cymbidium eburneum) là một loài phong lan.
Cây phân bố ở Nam Á và Trung Quốc. Tại Việt Nam, cây có mặt ở Kon Tum."
1421,Cymbidium_erythraeum,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. erythraeum,100,Cymbidium erythraeum là một loài thực vật thuộc họ Lan.
1422,Cymbidium_finlaysonianum,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. finlaysonianum,100,Cymbidium finlaysonianum là một loài thực vật có hoa trong họ Lan. Loài này được Lindl. mô tả khoa học đầu tiên năm 1833.
1423,Cymbidium_hookerianum,Plantae,"Tracheophyta
Angiospermae
Monocots",,Asparagales,Orchidaceae,Cymbidium,C. hookerianum,100,"Lan đoản kiếm hooker (danh pháp hai phần: Cymbidium hookerianum) là một loài phong lan.
Cây phân bố ở Nam Á, Trung Quốc, Việt Nam (Đà Lạt)."
1424,Cymbidium_iridioides,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. iridioides,100,"Hoàng lan (danh pháp hai phần: Cymbidium iridioides, tên tiếng Anh là Iris-like Cymbidium) là một loài phong lan.
Cây phân bố ở Ấn Độ, Nepal, Myanma, Trung Quốc, Việt Nam (Đà Lạt)."
1425,Cymbidium_longifolium,,,,,,,,98,"Chi Lan kiếm (danh pháp khoa học: Cymbidium), còn gọi là Đoản kiếm, Thanh ngọc, thuộc loại Địa Lan hay Thổ Lan, là một chi thực vật gồm 52 loài thuộc họ Lan. Chi này được Olof Swartz mô tả lần đầu vào năm 1799. Tên chi có nguồn gốc từ tiếng Hy Lạp kumbos nghĩa là 'lỗ thủng', dựa theo hình dáng môi hoa. Tên viết tắt của chi này là Cym.. Cymbidium cũng là tên của một liên minh hoa lan gồm các chi Ansellia, Cymbidium, Grammatophyllum thuộc Phân họ Lan biểu sinh bậc cao."
1426,Cymbidium_sanderae,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. sanderae,100,Cymbidium sanderae là một loài thực vật có hoa trong họ Lan. Loài này được (Rolfe) P.J.Cribb & Du Puy mô tả khoa học đầu tiên năm 1988.
1427,Cymbidium_sinense,Plantae,,"Angiospermae
Monocots",Asparagales,Orchidaceae,Cymbidium,C. sinense,100,Cymbidium sinense là một loài thực vật có hoa trong họ Lan. Loài này được (Jacks.) Willd. mô tả khoa học đầu tiên năm 1805.
1428,Cymbidium_tamphianum,Plantae,"Tracheophyta
Angiospermae
Monocots",,Asparagales,Orchidaceae,Cymbidium,C. tamphianum,100,"Chi Lan kiếm (danh pháp khoa học: Cymbidium), còn gọi là Đoản kiếm, Thanh ngọc, thuộc loại Địa Lan hay Thổ Lan, là một chi thực vật gồm 52 loài thuộc họ Lan. Chi này được Olof Swartz mô tả lần đầu vào năm 1799. Tên chi có nguồn gốc từ tiếng Hy Lạp kumbos nghĩa là 'lỗ thủng', dựa theo hình dáng môi hoa. Tên viết tắt của chi này là Cym.. Cymbidium cũng là tên của một liên minh hoa lan gồm các chi Ansellia, Cymbidium, Grammatophyllum thuộc Phân họ Lan biểu sinh bậc cao."
1429,Cymbopogon_annamensis,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Cymbopogon,C. annamensis,100,Sả Trung Bộ (danh pháp: Cymbopogon annamensis) là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (A.Camus) A.Camus miêu tả khoa học đầu tiên năm 1920.
1430,Cymbopogon_cambodgiensis,,,,,,,,100,Cymbopogon cambogiensis là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Balansa) E.G.Camus & A.Camus mô tả khoa học đầu tiên năm 1922.
1431,Cymbopogon_coloratus,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Cymbopogon,C. coloratus,100,Cymbopogon coloratus là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Hook.f.) Stapf mô tả khoa học đầu tiên năm 1906.
1432,Cymbopogon_goeringii,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Cymbopogon,C. goeringii,100,Cymbopogon goeringii là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Steud.) A.Camus mô tả khoa học đầu tiên năm 1921.
1433,Cymbopogon_mekongensis,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Cymbopogon,C. mekongensis,100,Cymbopogon mekongensis là một loài thực vật có hoa trong họ Hòa thảo. Loài này được A.Camus mô tả khoa học đầu tiên năm 1920.
1434,Cymbopogon_pendulus,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Cymbopogon,C. pendulus,100,Cymbopogon pendulus là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (Nees ex Steud.) W.Watson mô tả khoa học đầu tiên năm 1882.
1435,Cymbopogon_tortilis,Plantae,,"Angiospermae
Monocots",Poales,Poaceae,Cymbopogon,C. tortilis,100,Cymbopogon tortilis là một loài thực vật có hoa trong họ Hòa thảo. Loài này được (J.Presl) A.Camus mô tả khoa học đầu tiên năm 1925.
1436,Cymodocea_serrulata,Plantae,,"Angiospermae
Monocot",Alismatales,Cymodoceaceae,Cymodocea,C. serrulata,100,Cỏ kiệu răng cưa (Cymodocea serrulata) là một loài thực vật có hoa trong họ Cymodoceaceae. Loài này được (R.Br.) Asch. & Magnus mô tả khoa học đầu tiên năm 1870.
1437,Cynanchum_officinale,Plantae,,"Angiospermae
Eudicots",Gentianales,Apocynaceae,Cynanchum,C. officinale,100,Cynanchum officinale là một loài thực vật có hoa trong họ La bố ma. Loài này được (Hemsl.) Tsiang & H.T.Zhang mô tả khoa học đầu tiên năm 1974.
1438,Cynara_scholymus,,,,,,,,100,"Atisô (bắt nguồn từ từ tiếng Pháp artichaut /aʁtiʃo/) (tên khoa học: Cynara scolymus), còn được viết là a-ti-sô, a ti sô, cũng còn được gọi là ác-ti-sô, là loại cây lá gai lâu năm có nguồn gốc từ miền Nam châu Âu (quanh Địa Trung Hải) đã được người Cổ Hy Lạp và Cổ La Mã trồng để lấy hoa làm rau ăn. Atisô có thể cao lên tới 1,5 đến 2 mét, lá cây dài từ 50–80 cm.
Những cây atisô được trồng đầu tiên ở quanh Naples vào giữa thế kỷ 15. Nó được Catherine de Medici giới thiệu tới nước Pháp trong thế kỷ 16, sau đó, người Hà Lan mang nó đến Anh. Atisô tiếp tục được mang tới Mỹ trong thế kỷ 19 bởi những người đến nhập cư: bang Louisiana bởi người Pháp và bang California bởi người Tây Ban Nha. Ngày nay, atisô được trồng chủ yếu ở Pháp, Ý và Tây Ban Nha, Mỹ và các nước Mỹ Latinh. Atisô du thực vào Việt Nam đầu thế kỷ 20, được trồng ở Sa Pa, Tam Đảo, nhiều nhất là ở Đà Lạt.
Hiện nay, người ta trồng atisô không những chỉ dùng lá bắc và đế hoa để ăn mà còn dùng làm thuốc. Hoạt chất chính của atisô là cynarine (Acide 1- 3 dicaféin quinic). Ngoài ra còn có inulin, inulinaza, tanin, các muối hữu cơ của các kim loại Kali, Calci, Magiê, Natri... Atisô có tác dụng hạ cholesterol và urê trong máu, tạo mật, tăng tiết mật, lợi tiểu, thường được làm thuốc thông mật, thông tiểu tiện, chữa các chứng bệnh về gan, thận. Tuy chất cynarine đã tổng hợp được nhưng người ta vẫn dùng chế phẩm từ cao lá atisô tươi. Trên thế giới, biệt dược Chophytol của hãng Rosa (Pháp) là thông dụng hơn cả."
1439,Cynodon_dactylon,Plantae,,"Angiospermae
Monocots
Commelinids",Poales,Poaceae,Cynodon,C. dactylon,100,"Cỏ gà hay còn gọi là cỏ chỉ, cỏ ống, cỏ Bermuda..., danh pháp hai phần: Cynodon dactylon ((L.) Pers.), là một loài thực vật lưu niên thuộc họ Hòa thảo, mọc hoang dã hoặc được trồng tại những vùng có khí hậu ấm ở nhiều nơi trên thế giới. Cỏ gà được cho là có nguồn gốc từ châu Phi hoặc châu Á . Cỏ gà có thể được dùng trong chăn nuôi gia súc, làm mặt cỏ cho sân vận động, công viên, sân chơi... và cả trong y học cổ truyền."
1440,Cynoglossum_zeylanicum,Plantae,,"Angiospermae
Eudicots",Chưa đặt,Boraginaceae,Cynoglossum,C. zeylanicum,100,Cỏ thạch sùng hay khuyển thiệt Tích Lan (danh pháp hai phần: Cynoglossum zeylanicum) là loài thực vật có hoa trong họ Mồ hôi. Loài này được (Lehm.) Brand mô tả khoa học đầu tiên năm 1921.
1441,Cynometra_glomerulata,Plantae,,"Angiospermae
Eudicots
Rosids",Fabales,Fabaceae,Cynometra,C. glomerulata,100,Cynometra glomerulata là một loài thực vật có hoa trong họ Đậu. Loài này được Gagnep. miêu tả khoa học đầu tiên.
1442,Cyperus_articulatus,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. articulatus,100,Cyperus articulatus là một loài thực vật có hoa trong họ Cói. Loài này được L. mô tả khoa học đầu tiên năm 1753.
1443,Cyperus_babakan,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. babakan,100,Cyperus babakan là một loài thực vật có hoa trong họ Cói. Loài này được Steud. mô tả khoa học đầu tiên năm 1854.
1444,Cyperus_castaneus,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. castaneus,100,Cyperus castaneus là một loài thực vật có hoa trong họ Cói. Loài này được Willd. mô tả khoa học đầu tiên năm 1797.
1445,Cyperus_clarkei,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. clarkei,100,Cyperus clarkei là một loài thực vật có hoa trong họ Cói. Loài này được T.Cooke mô tả khoa học đầu tiên năm 1908.
1446,Cyperus_compressus,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. compressus,100,Cyperus compressus là một loài thực vật có hoa trong họ Cói. Loài này được L. mô tả khoa học đầu tiên năm 1753.
1447,Cyperus_cuspidatus,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. cuspidatus,100,Cyperus cuspidatus là một loài thực vật có hoa trong họ Cói. Loài này được Kunth mô tả khoa học đầu tiên năm 1817.
1448,Cyperus_diffuus,,,,,,,,100,Cyperus diffusus là loài thực vật có hoa trong họ Cói. Loài này được Vahl mô tả khoa học đầu tiên năm 1805.
1449,Cyperus_distans,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. distans,100,Cyperus distans là loài thực vật có hoa trong họ Cói. Loài này được L.f. mô tả khoa học đầu tiên năm 1782.
1450,Cyperus_exaltatus,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. exaltatus,100,Cyperus exaltatus là loài thực vật có hoa trong họ Cói. Loài này được Retz. mô tả khoa học đầu tiên năm 1788.
1451,Cyperus_grandis,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. grandis,100,Cyperus grandis là loài thực vật có hoa trong họ Cói. Loài này được C.B.Clarke mô tả khoa học đầu tiên năm 1901.
1452,Cyperus_halpan,,,,,,,,100,Cyperus haspan là loài thực vật có hoa trong họ Cói. Loài này được L. mô tả khoa học đầu tiên năm 1753.
1453,Cyperus_iria,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. iria,100,Cyperus iria là loài thực vật có hoa trong họ Cói. Loài này được L. mô tả khoa học đầu tiên năm 1753.
1454,Cyperus_leucocephalus,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. leucocephalus,100,Cyperus leucocephalus là loài thực vật có hoa trong họ Cói. Loài này được Retz. mô tả khoa học đầu tiên năm 1788.
1455,Cyperus_micholianus,,,,,,,,100,Cyperus michelianus là loài thực vật có hoa trong họ Cói. Loài này được (L.) Delile mô tả khoa học đầu tiên năm 1813.
1456,Cyperus_multispicatus,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. multispicatus,98,Cyperus multispicatus là loài thực vật có hoa trong họ Cói. Loài này được Boeckeler mô tả khoa học đầu tiên năm 1874.
1457,Cyperus_nutans,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. nutans,100,Cyperus nutans là loài thực vật có hoa trong họ Cói. Loài này được Vahl mô tả khoa học đầu tiên năm 1805.
1458,Cyperus_ohwii,Plantae,,"Angiospermae
Monocots",Poales,Cyperaceae,Cyperus,C. ohwii,100,Cyperus ohwii là loài thực vật có hoa trong họ Cói. Loài này được Kük. mô tả khoa học đầu tiên năm 1931.
